rf_train_predictions,rf_train_probs,train_labels
1,0.6874103344126778,1
0,0.47739848056860745,0
1,0.721749649489572,1
0,0.2533235615552907,0
1,0.5881335455457427,1
1,0.63994316071838,1
1,0.5582930808431782,0
0,0.20832092237451927,0
1,0.6691966149553753,1
1,0.6828802132735808,1
1,0.6091069361763444,1
1,0.6663740261142265,1
1,0.6015858676404651,1
1,0.6977934002911101,1
1,0.7340131401171521,1
0,0.3861970015418472,0
1,0.5758067357919735,0
0,0.23598700504046888,0
1,0.691558508823926,1
0,0.2703519390239356,0
0,0.2393767514464256,0
0,0.18611301731861596,0
1,0.5711386886043784,1
0,0.24623283861657128,0
1,0.7286657526652007,1
0,0.28434882323914734,0
0,0.22498129833400285,0
1,0.5282009619597359,1
0,0.36947582304919024,0
1,0.7049603443974007,1
1,0.6359176618041495,1
1,0.6608478308469717,1
1,0.6130269782776666,1
0,0.3846166234481568,0
0,0.17349192934133556,0
1,0.5015414628435417,0
1,0.6723080285107501,1
0,0.20933068177270392,0
0,0.1824541502054144,0
1,0.670593278205525,1
1,0.7198052209496264,1
1,0.5734380500440405,1
1,0.647303885926881,1
1,0.6083504054695485,1
1,0.6137496534655282,1
1,0.7697399857078419,1
1,0.6862338203616535,1
1,0.6547606053881606,1
0,0.39504745414711356,0
1,0.6153528826899458,1
1,0.6413619517547541,1
1,0.5477223919294761,0
1,0.6202914266596443,1
0,0.3005825366605392,0
1,0.6434804798271356,1
0,0.49928219445021005,0
1,0.6843894341141525,1
0,0.247064046156964,0
0,0.16696852208875534,0
0,0.32913403574558003,0
1,0.6839368584472095,1
0,0.22362977475245924,0
1,0.70619690606979,1
1,0.6878264383943707,1
1,0.5434686621586693,1
0,0.21440108764807195,0
1,0.7031217543324786,1
1,0.5782470679428627,1
1,0.551373069663895,0
1,0.6389651938157036,1
1,0.66114929521171,1
1,0.7292253315304542,1
1,0.6475833098138614,1
1,0.7102670652763008,1
1,0.7646874675393116,1
1,0.7485657604136535,1
1,0.612343944052705,1
1,0.5682909296479741,0
1,0.6090235683842438,0
1,0.6362526731013741,1
0,0.27705056453151233,0
0,0.1949189876633619,0
0,0.2121751069726724,0
0,0.19881506628412515,0
0,0.3686739339359852,0
0,0.2523380997086628,0
0,0.20801143706746675,0
1,0.6005177264713741,1
0,0.24212119837774967,0
1,0.659174955699508,1
0,0.12877113912855465,0
1,0.6896134921538948,1
0,0.41366200814061377,0
1,0.502518095170404,1
0,0.3146765138127514,0
0,0.13927689267493287,0
1,0.5365446374176832,0
