rf_train_predictions,rf_train_probs,train_labels
0,0.39242892143015706,0
1,0.5185346165630422,0
1,0.6571449113746543,1
1,0.5292354651412655,1
1,0.5655087779377435,1
0,0.36876101426781555,0
0,0.38220055830254424,0
1,0.5616295682151525,1
1,0.7164377376773118,1
0,0.3588627810891613,0
1,0.5116290276827511,1
0,0.4982653430275192,0
0,0.343887710963019,0
1,0.6771253337894163,1
0,0.3591817927246968,0
0,0.34401486994104075,0
0,0.4378617567661539,0
1,0.6341872601039037,1
0,0.3937051094047686,0
0,0.2996759020324241,0
0,0.41974400027749,0
0,0.3291238701720359,0
1,0.6421610022948221,1
0,0.4341264974219597,1
1,0.6338485589450874,1
1,0.5029633004023248,1
0,0.38029479077078454,0
0,0.4168431855488414,0
1,0.7126054532991585,1
1,0.7044871810876312,1
1,0.6464194458847271,1
1,0.656021456138149,1
1,0.5080295897858537,1
0,0.32833830008369547,0
0,0.44178529962898305,1
0,0.4433219083277031,0
1,0.664998477308372,1
1,0.5102242028605436,0
0,0.4336636646307698,0
0,0.43001503004130553,0
0,0.36733864897118346,0
1,0.7092308678105266,1
1,0.6292693480678475,1
1,0.5573643320455254,1
1,0.6137497841976198,1
1,0.7349070850150722,1
1,0.5012103912125212,1
1,0.5144690719419842,1
0,0.3916640102983564,0
1,0.5937626569941251,1
1,0.5040590437831071,0
0,0.37558906624133825,0
0,0.28171380127325546,0
1,0.6648338624601488,1
1,0.7387758042277462,1
1,0.7697422365952064,1
1,0.6900261572217343,1
0,0.3744399896243697,0
0,0.379865216639431,0
1,0.6272027443515128,1
0,0.3948110572195354,0
0,0.39290916284310257,0
1,0.5676022207568018,1
0,0.42119608298503586,0
1,0.6718838997800002,1
1,0.5234250049357545,1
0,0.38864450395469474,0
0,0.4247852198710403,0
1,0.6538375886569928,1
0,0.3281848473069878,0
1,0.6981851844060273,1
1,0.6857930582036922,1
1,0.6573588519286565,1
0,0.3970509481759849,0
0,0.4863100517702437,0
1,0.5756662267837462,1
0,0.38986623821080685,0
1,0.6641401199444381,1
1,0.6457797594066393,1
1,0.5419808073992136,1
1,0.5618075986819728,1
0,0.47886543605790016,0
0,0.3989140520931915,0
0,0.1949202889424655,0
0,0.3999686307467251,0
0,0.4610346317767119,0
0,0.35670052909685496,0
0,0.4553061211802008,0
0,0.39747833662385196,0
1,0.514463835622146,1
1,0.5861343028639346,1
0,0.30083069681654473,0
1,0.6667919766368479,1
0,0.37010415817067677,0
0,0.32176965396265855,0
1,0.5893178679828786,1
1,0.6959971245237768,1
1,0.7366802914861723,1
1,0.6391226731321928,1
0,0.35922770289355554,0
1,0.62053720819889,1
1,0.5395422040637834,1
1,0.7401392053862595,1
0,0.3655483279094843,0
0,0.35470906588256035,0
1,0.6896449294549427,1
0,0.41832057445318205,0
1,0.7612419972272159,1
0,0.38700266609608447,0
1,0.6722759297080673,1
0,0.47681484232379473,0
0,0.33975310553708404,0
0,0.36482472658975923,0
1,0.6961779253732334,1
0,0.3455317142219285,0
0,0.34666375269355326,0
1,0.5380004198002426,1
0,0.39787791614391443,0
1,0.6921360366991369,1
0,0.46644522701270497,0
1,0.6638135286892721,1
0,0.3883743821001662,0
0,0.31229899456504817,0
0,0.39456830475507054,0
1,0.6029693106854386,1
0,0.37835893536319776,0
0,0.41655602194269564,0
1,0.6167396456792875,1
1,0.5051665883409227,0
0,0.46564127674822614,0
0,0.3482501347984402,0
1,0.5968302833041824,1
1,0.7187250345456875,1
0,0.4183284192340588,0
0,0.3262939286476513,0
0,0.41736748952103603,0
1,0.6623032213894988,1
0,0.41345093528634513,0
0,0.27047832940841,0
1,0.6330628208113035,1
0,0.34373959626223266,0
1,0.7418012138200215,1
0,0.3290922537582274,0
0,0.44196117860622136,0
1,0.7197130792460504,1
0,0.24835506083082934,0
1,0.6288817525324155,1
1,0.7252401124199065,1
0,0.4100725503399164,0
0,0.4440274894803233,0
1,0.5719031189405132,1
1,0.6121931625129765,1
1,0.5078553561862025,0
0,0.3740823862069055,0
1,0.6990315353166285,1
1,0.6030950320599204,1
1,0.6455352520107702,1
0,0.34238589798124913,0
1,0.7033329745197263,1
0,0.4352695715319119,0
0,0.4211089230456031,0
1,0.6415664692909487,1
0,0.3613014525668678,0
0,0.4000032324523184,0
0,0.37019611359356097,0
1,0.6669841380471098,1
0,0.4534201339232959,0
1,0.6495262404071775,1
0,0.4445966961006132,0
0,0.40773558534818766,0
1,0.5660981507184076,1
0,0.45532983811189637,0
1,0.5561289364730126,1
1,0.6135565400243268,1
0,0.43490707924116334,0
1,0.7724049520699607,1
0,0.3423498012468643,0
1,0.635516155770314,1
1,0.5081006361286586,1
0,0.41022838645104165,0
1,0.682341221036136,1
1,0.6455676724795532,1
1,0.7017901121974995,1
1,0.6465150697871312,1
0,0.3479664429830197,0
0,0.2894718647163883,0
1,0.5662384093150835,1
0,0.4334983822853898,0
1,0.6254347126216788,1
0,0.32660869379659885,0
0,0.29690221743131795,0
1,0.5900054125984395,1
0,0.4741541844090147,0
1,0.6895799900969749,1
0,0.4552818244624113,1
1,0.6168806270408871,1
1,0.6922942288947054,1
0,0.37135545879988385,0
0,0.49379451571776756,1
0,0.4548248581207081,0
0,0.42504243572079603,0
1,0.6691521225973982,1
0,0.4520321177058767,0
0,0.3860730067714262,0
0,0.3533776160040371,0
1,0.5304128785340062,1
1,0.7045980190159602,1
1,0.6357741931520697,1
1,0.6821851527479478,1
0,0.39369159229523815,0
0,0.3596371073421489,0
0,0.3653483689034524,0
0,0.3842239348177956,0
1,0.5718359908249019,1
1,0.5368700347062257,1
0,0.40329428388282623,0
1,0.5139199456656283,1
0,0.4717505922230658,0
1,0.6072130341685767,1
1,0.6924570043543483,1
1,0.5720592144786969,1
0,0.41612820989169064,0
0,0.3863845893122592,0
0,0.30794396895007936,0
0,0.3926796823880747,0
0,0.37024654634957593,0
0,0.48219596092513084,1
0,0.3002979845109359,0
0,0.3996430919223395,0
1,0.5090342812728708,0
1,0.5202367213037041,0
1,0.5348201785937419,1
1,0.7035387026638663,1
0,0.3877871810784192,0
0,0.2488741829450634,0
1,0.5980813849063363,1
1,0.6060415349898257,1
0,0.3365992243279987,0
1,0.7597030951346139,1
0,0.3156197868469583,0
1,0.7210171326386353,1
1,0.6522670899610431,1
0,0.376168465452867,0
0,0.45474887034860834,0
0,0.45358744633920556,0
0,0.30990150880164796,0
0,0.45596278275765806,0
1,0.6020931303229431,1
0,0.36472118866146275,0
1,0.5810935265681837,1
0,0.4292394218335063,0
0,0.33971731318073856,0
0,0.498853787362727,0
0,0.45592068511749617,1
1,0.7638410582642973,1
1,0.6429769457625689,1
1,0.5323359817333,0
1,0.6441111187734336,1
0,0.38989476299249726,0
0,0.26267674250339046,0
0,0.3591035392255533,0
1,0.5838250209806122,1
0,0.21595927365284923,0
0,0.4282012821189277,0
1,0.5730629201184615,1
1,0.5128942618208885,1
1,0.5629824959565881,1
0,0.4366211581903169,0
1,0.5414786021503533,1
1,0.7345228985152588,1
1,0.6244088999877863,1
1,0.5629409188313431,1
1,0.6919013475669656,1
1,0.6534232449591105,1
0,0.4780121403568357,1
1,0.6863875327151611,1
1,0.5349500016493396,1
0,0.4631328549222294,1
0,0.4284568902883085,0
0,0.4251444832570717,0
1,0.5364963132689243,1
1,0.6295422283217867,1
1,0.5490216693265452,1
1,0.7579273288123543,1
1,0.7122141584039895,1
1,0.6989890025611268,1
1,0.6364680116224177,1
1,0.6835757220327919,1
0,0.4048149295098699,0
1,0.6328705732987355,1
0,0.33372458793909077,0
1,0.5919500509162571,1
0,0.40822289701757275,0
1,0.701887288627912,1
1,0.6422339557430534,1
1,0.7062450169565289,1
0,0.34878022861294744,0
1,0.5835132606067893,1
0,0.3807072748306864,0
1,0.5674109732215481,1
0,0.35171372370029064,0
0,0.35177511470004946,0
0,0.3274800185156944,0
0,0.37931446406240094,0
1,0.6597209737900802,1
1,0.6759512678056836,1
1,0.6897691914265729,1
1,0.6039765279199433,1
0,0.4580360148590956,0
0,0.3351748591411682,0
1,0.70934065011622,1
0,0.35898068934674865,0
1,0.5472969547052151,1
0,0.39327700819912764,0
0,0.38223814674631595,0
1,0.5751786386220147,1
0,0.40852153653946,0
0,0.36345368874843187,0
1,0.5052222649566176,0
1,0.6558208038230694,1
1,0.6456956995565197,1
1,0.6427047023259224,1
0,0.42669027497380335,0
1,0.5819600500914701,1
1,0.7031527643676476,1
0,0.414275186179935,0
1,0.7064491995450072,1
1,0.7259787916016434,1
0,0.3847323844472018,0
0,0.36806413268075594,0
1,0.6689488371907867,1
0,0.40142095973022035,0
0,0.4621104788180221,0
1,0.5674949752502982,1
0,0.48926214076664776,0
0,0.32915693378908345,0
0,0.30244419082503143,0
1,0.7146504880814614,1
0,0.2562295817570865,0
1,0.6704090366616657,1
0,0.34277714338384463,0
1,0.6757132208060116,1
0,0.4307754320248244,0
0,0.4142848704824991,0
1,0.5407555338188934,1
0,0.3298285143425389,0
1,0.590978375734662,1
0,0.27056576016822165,0
0,0.27854970625195263,0
1,0.6492904829337749,1
0,0.3858154386721345,0
0,0.3852125865225631,0
0,0.4307662818006557,0
0,0.45885894919614983,0
0,0.33365979259419803,0
1,0.5486141236442655,1
1,0.6577203545844971,1
0,0.3411956882363002,0
1,0.6057139316022538,1
0,0.4303829776822999,0
1,0.6341456035862345,1
1,0.6035448164045731,1
1,0.6216849220207497,1
0,0.48733871451069205,1
1,0.6232769261805527,1
1,0.5307521941221547,1
0,0.35930180179198173,0
0,0.29254004795562955,0
1,0.5415067932523582,1
1,0.650892205609159,1
0,0.37200584965528244,0
0,0.46422987263188964,1
0,0.38413799593224435,0
1,0.6760193794933023,1
0,0.24560399879226563,0
0,0.46444914686374844,0
1,0.6600774394896017,1
0,0.3947978831603909,0
1,0.5868450061732527,1
1,0.7218852242069212,1
1,0.5483816768925005,1
1,0.7195365640269377,1
0,0.37365718494332534,0
1,0.5142310829129653,0
1,0.6778552764662973,1
0,0.4586260647697057,0
0,0.49084910174644536,1
0,0.3621485618594481,0
0,0.335105362756496,0
1,0.5050519415652703,1
0,0.3849584576911903,0
0,0.4050350071532204,0
1,0.6372330774844253,1
0,0.30845264881210094,0
1,0.6996310514594001,1
0,0.4552944065820564,0
1,0.6837065241389166,1
0,0.3611412778430642,0
0,0.45380148434246664,0
1,0.7260895631504973,1
0,0.38394717663022215,0
1,0.6497419485902745,1
0,0.37354530243802936,0
0,0.3404158366248442,0
0,0.3188014450994058,0
1,0.737630892590602,1
0,0.4552091108426603,0
1,0.655510888379446,1
1,0.6853140623256658,1
1,0.5588536131400722,1
0,0.4093440035000885,0
1,0.7176021833577798,1
1,0.5428450354435431,1
1,0.6611307222504199,1
1,0.6662559111826745,1
1,0.563500142993512,1
0,0.3665597787672953,0
1,0.6066838334088356,1
0,0.41680449779862927,0
0,0.29143676236580196,0
1,0.6469302159714503,1
0,0.3209490146188567,0
0,0.30244861077872004,0
1,0.5205788471899554,1
1,0.6888268275320335,1
0,0.3434549231820225,0
0,0.19551045047452498,0
1,0.6608589635024239,1
0,0.276524288026556,0
0,0.486418675203258,0
0,0.27869642704967423,0
1,0.6160115593643292,1
1,0.7355709469354903,1
1,0.5354110531084437,1
0,0.3577965325110416,0
1,0.5641736281997994,1
0,0.27705591025694004,0
1,0.5926195519106273,1
0,0.36068923254373764,0
1,0.5056250284732924,0
1,0.7153912055013916,1
1,0.5267330657728966,1
1,0.6183077369952729,1
1,0.5802266895736065,1
0,0.46435327687360933,0
0,0.4045802212243572,0
0,0.47339539144292403,0
1,0.6530283222826755,1
0,0.2811534629843941,0
0,0.4533925153156558,0
1,0.6655455726158617,1
1,0.624954440773877,1
0,0.324620547971312,0
1,0.5569828174432481,1
1,0.683309755448753,1
1,0.5821751928337595,1
1,0.6385170314739406,1
0,0.372368679831693,0
0,0.4490687664803658,0
1,0.6050631544767838,1
1,0.7431180362635432,1
1,0.7498757760792678,1
1,0.7402171532358139,1
0,0.40719732015240845,0
1,0.6398866673483771,1
0,0.4011560287115982,0
1,0.5988176527209957,1
0,0.42505799010094114,0
0,0.47532267731361577,0
0,0.49041483228843724,0
0,0.4015356326351626,0
0,0.49565992452818697,1
1,0.7150973489891415,1
1,0.5711308227561138,1
1,0.5351827001675105,1
1,0.6726576523785943,1
0,0.33034677480138264,0
1,0.695783346345487,1
1,0.5859828836882702,1
0,0.36519063421328973,0
1,0.7053565592687844,1
1,0.6890226383213738,1
1,0.7524772748737241,1
0,0.38380316650147206,0
0,0.33459173646117596,0
1,0.6437212083203393,1
1,0.6116705574024447,1
1,0.528564823411573,1
1,0.6592222695612006,1
0,0.3970287627276668,0
0,0.33934026405353473,0
1,0.5989340279325553,1
0,0.2831804803667789,0
0,0.27829272705211716,0
0,0.41420926306606964,0
0,0.36238116456134944,0
0,0.3784337565526357,0
1,0.6747353170947923,1
0,0.39331294531034794,0
0,0.4389538394553449,0
1,0.6305752601595243,1
0,0.4062584576630204,0
1,0.6580954342539554,1
0,0.3591301989238249,0
1,0.6743917372828531,1
0,0.4638439555317779,0
0,0.35014293250839607,0
0,0.4798875883008972,0
0,0.457993355578378,0
0,0.3878886892676368,0
0,0.4317093969007529,1
1,0.5505834635203857,1
0,0.46466685529585744,1
0,0.442355972415223,0
0,0.24849009724260246,0
0,0.4511944913446728,0
0,0.2728224089903219,0
0,0.3452306644519668,0
1,0.6363847041008296,1
0,0.2626157058943105,0
1,0.6819276171246491,1
0,0.4650863118601858,0
