rf_train_predictions,rf_train_probs,train_labels
-1,0.36773141035194806,0
-1,0.19121400719455434,-1
1,0.23562646229607181,1
1,0.25032330127438324,1
0,0.4973967498560721,0
-1,0.24481578512907665,-1
-1,0.3404347824400449,-1
1,0.24910877840925502,1
-1,0.22096025558238538,-1
1,0.3650902456513031,0
-1,0.1910376484999343,-1
1,0.267035704256614,1
0,0.5625415633325775,0
-1,0.2969120365730109,-1
0,0.5959376574047746,0
-1,0.2225542928742057,-1
-1,0.1816207940202104,-1
1,0.36901152277863114,1
0,0.5158820221065092,0
-1,0.22156276199059086,-1
1,0.3851384465443889,1
1,0.26519616199467394,1
-1,0.1812602068783349,-1
0,0.5509393798140365,0
1,0.3064009176442532,1
-1,0.22203745540647993,-1
0,0.5007060332827833,0
-1,0.19810902993849294,-1
0,0.5487411299207455,0
0,0.505026941410431,0
-1,0.2349451482195451,-1
0,0.5184453209714208,0
-1,0.23113687713890943,-1
1,0.3845350469866277,1
0,0.5637233824670701,0
-1,0.33244985398050386,-1
1,0.29137616568399155,1
-1,0.1403962494701864,-1
1,0.21196088766708188,1
0,0.4550747422866621,0
-1,0.1989865547607362,-1
1,0.22278876758360994,1
0,0.4553352315333035,0
-1,0.19687296363889162,-1
0,0.510559438216289,0
1,0.2567872446010355,1
-1,0.2303252760076645,-1
1,0.24245435298347648,1
1,0.2838057138536298,1
0,0.5151478963390194,0
0,0.4170582386868448,0
1,0.4160419717799206,1
-1,0.2484132559456183,-1
-1,0.20428057879583356,-1
1,0.1902159405531156,1
-1,0.20702995897181156,-1
1,0.2132304682850188,1
-1,0.176178828406295,-1
0,0.5355261969934574,0
-1,0.2089954450698657,-1
1,0.27741046427317845,1
-1,0.1960578711902405,-1
1,0.2790755192229392,1
-1,0.21684243110349802,-1
0,0.5753682014528455,0
1,0.26106071523306296,1
0,0.556047549162103,0
0,0.43940984369029257,0
0,0.5656882354540254,0
-1,0.21346658996481707,-1
1,0.33396903153275603,1
1,0.2090401427115958,1
-1,0.15456739035239433,-1
1,0.3407833592535882,1
-1,0.2798458434709804,-1
0,0.5901551741289268,0
0,0.5303787594497755,0
0,0.5978032757204249,0
1,0.4035989833972925,0
-1,0.3137851517437376,-1
-1,0.2560344692160972,-1
1,0.30141882293493766,1
1,0.25187289803740964,1
1,0.2678328493173981,1
0,0.4757117650416924,0
0,0.5949285010230408,0
1,0.24398579699990613,1
0,0.4673258906873868,0
-1,0.2265258835622312,-1
-1,0.35578117206653237,-1
-1,0.16233465979845083,-1
-1,0.28815297494799125,-1
-1,0.1781882852124684,-1
1,0.23910598976349132,1
-1,0.1911235173042213,-1
-1,0.30466527112019937,-1
1,0.20165382245580513,1
1,0.35453563595763243,1
0,0.534354481799723,1
0,0.6042257791359087,0
-1,0.18815292371474368,-1
1,0.2214997808895616,1
1,0.30232911008959873,-1
-1,0.3649154448868962,-1
1,0.2326885539532125,1
0,0.5805765205391338,0
1,0.23048587384355318,1
1,0.30716410342926614,1
1,0.21237306104147513,1
-1,0.18179900336853078,-1
0,0.44347666394316326,0
-1,0.276786740343645,-1
1,0.24739337376488962,1
-1,0.20086798453572027,-1
1,0.24889403113202757,1
-1,0.2351446355294356,-1
0,0.37018429042063467,0
1,0.26907089263644973,1
